"","time","proportionDisseminated","mainRun"
"12203",7.6,0.6," 87"
"12204",7.7,0.6," 87"
"12205",7.8,0.6," 87"
"12206",7.9,0.6," 87"
"12207",8,0.6," 87"
"12208",8.1,0.6," 87"
"12209",8.2,0.6," 87"
"12210",8.3,0.633333333333333," 87"
"12211",8.4,0.633333333333333," 87"
"12212",8.5,0.666666666666667," 87"
"12213",8.6,0.666666666666667," 87"
"12214",8.7,0.7," 87"
"12215",8.8,0.7," 87"
"12216",8.9,0.7," 87"
"12217",9,0.7," 87"
"12218",9.1,0.7," 87"
"12219",9.2,0.7," 87"
"12220",9.3,0.7," 87"
"12221",9.4,0.733333333333333," 87"
"12222",9.5,0.733333333333333," 87"
"12223",9.6,0.733333333333333," 87"
"12224",9.7,0.766666666666667," 87"
"12225",9.8,0.766666666666667," 87"
"12226",9.9,0.8," 87"
"12227",10,0.8," 87"
"12228",10.1,0.8," 87"
"12229",10.2,0.8," 87"
"12230",10.3,0.8," 87"
"12231",10.4,0.8," 87"
"12232",10.5,0.833333333333333," 87"
"12233",10.6,0.833333333333333," 87"
"12234",10.7,0.833333333333333," 87"
"12235",10.8,0.833333333333333," 87"
"12236",10.9,0.833333333333333," 87"
"12237",11,0.833333333333333," 87"
"12238",11.1,0.833333333333333," 87"
"12239",11.2,0.866666666666667," 87"
"12240",11.3,0.866666666666667," 87"
"12241",11.4,0.866666666666667," 87"
"12242",11.5,0.866666666666667," 87"
"12243",11.6,0.866666666666667," 87"
"12244",11.7,0.9," 87"
"12245",11.8,0.9," 87"
"12246",11.9,0.9," 87"
"12247",12,0.9," 87"
"12248",12.1,0.933333333333333," 87"
"12249",12.2,0.933333333333333," 87"
"12250",12.3,0.933333333333333," 87"
"12251",12.4,0.933333333333333," 87"
"12252",12.5,0.933333333333333," 87"
"12253",12.6,0.933333333333333," 87"
